name,email,marks,medals
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,160,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Inshal,inshayyy@gmail.com,70,5
Ali,ali@gmail.com,20,50
Burhan,xweetfy@gmail.com,60,1
Muhammad Awais,a@gmail.com,90,5
